dim_ok,dim_tourism_level,title,year,type,type_label,venue,authors,doi,url,source_db,dim_cn,dim_ar,dim_tourism_strong,dim_tourism_weak
True,strong,Evaluating flood and landslide hazards to cultural heritage sites in Historic Cairo,2025,journal-article,期刊论文,Natural Hazards,Abdalla M. Allam; Mona G. Ibrahim; Shinjiro Kanae; Mahmoud Sharaan,10.1007/s11069-025-07401-1,https://doi.org/10.1007/s11069-025-07401-1,crossref,china,cairo,heritage; world heritage,
True,strong,CTourLLM: enhancing LLMs with Chinese tourism knowledge,2025,journal-article,期刊论文,Cluster Computing,Qikai Wei; Mingzhi Yang; Jinqiang Wang; Wenwei Mao; Jiabo Xu; Huansheng Ning,10.1007/s10586-024-05009-x,https://doi.org/10.1007/s10586-024-05009-x,crossref,chinese,arab,tourism,
True,strong,Adventurous Arctic encounters? Exploring Chinese adventure tourism,2020,journal-article,期刊论文,Scandinavian Journal of Hospitality and Tourism,Natasha Martin; Carina Ren,10.1080/15022250.2020.1743752,https://doi.org/10.1080/15022250.2020.1743752,crossref,chinese,arab,tourism,
True,strong,Domestic tourism of Chinese in Canada: Distinct differences,2018,journal-article,期刊论文,Journal of Destination Marketing &amp; Management,Ye (Sandy) Shen; Marion Joppe; Hwan-Suk Chris Choi; Shuyue Huang,10.1016/j.jdmm.2017.01.003,https://doi.org/10.1016/j.jdmm.2017.01.003,crossref,chinese,arab,tourism,
True,strong,Chinese rural residents' identity construction with tourism intervention,2024,journal-article,期刊论文,Tourism Management Perspectives,Zhicai Wu; Jing Ma,10.1016/j.tmp.2024.101218,https://doi.org/10.1016/j.tmp.2024.101218,crossref,chinese,arab,tourism,
True,strong,Tourism research progress: comparing tourism literature reviews published in English WOS and Chinese CNKI language journals,2023,journal-article,期刊论文,Tourism Review,Tao Hu; Yihong Chen; Huimin Chen; Yangyan Zhang,10.1108/tr-06-2022-0303,https://doi.org/10.1108/tr-06-2022-0303,crossref,china; chinese,arab,tourism,
True,strong,Understanding the Study Experience of Chinese Tourism Doctoral Students Studying Overseas,2020,journal-article,期刊论文,Journal of China Tourism Research,Hongxia Qi; Fangxuan (Sam) Li,10.1080/19388160.2020.1772929,https://doi.org/10.1080/19388160.2020.1772929,crossref,chinese,arab,tourism,
True,strong,Flower viewing from horseback? New directions in Chinese tourism in Australia,2019,journal-article,期刊论文,Australian Geographer,John Connell; Phil McManus,10.1080/00049182.2019.1591568,https://doi.org/10.1080/00049182.2019.1591568,crossref,chinese,arab,tourism,
True,strong,A touristic habitation: automobilities of Chinese driving tourists,2022,journal-article,期刊论文,Tourism Geographies,Peng Yang; Honggang Xu; Kevin Hannam,10.1080/14616688.2022.2046148,https://doi.org/10.1080/14616688.2022.2046148,crossref,chinese,arab,touristic; tourists,
True,strong,Water footprint of Chinese tourists: Directions and structure,2021,journal-article,期刊论文,Journal of Hydrology,Lien-Chieh Lee; Yuan Wang; Jian Zuo; Lanxin Zhang,10.1016/j.jhydrol.2021.127151,https://doi.org/10.1016/j.jhydrol.2021.127151,crossref,chinese,arab,tourists,
True,strong,Britain in bloom? A study into Chinese tourists’ experience,2015,journal-article,期刊论文,EuroMed Journal of Business,Zhibin Lin; Guangren He; Ilias P. Vlachos,10.1108/emjb-09-2014-0030,https://doi.org/10.1108/emjb-09-2014-0030,crossref,chinese,arab,destination; destinations; heritage; tour; tourism; tourist; tourists; tours; travellers,
True,strong,Assessing Chinese Tourists’ Satisfaction with their Shopping Experiences in Bangkok Metropolis,2019,journal-article,期刊论文,Journal of China Tourism Research,Lertporn Parasakul,10.1080/19388160.2019.1638864,https://doi.org/10.1080/19388160.2019.1638864,crossref,chinese,arab,tourists,
True,strong,Little-known leisure places: Chinese tourists’ preferences for visiting niche tourism destinations,2023,journal-article,期刊论文,Asia Pacific Journal of Tourism Research,Tao Hu; Huimin Chen,10.1080/10941665.2023.2293794,https://doi.org/10.1080/10941665.2023.2293794,crossref,chinese,arab,destinations; leisure; tourism; tourists,
True,strong,Group lifestyle mobilities: understanding Chinese senior long-stay tourists in rural destinations,2024,journal-article,期刊论文,Current Issues in Tourism,Huan Huang; Scott Cohen; Jiaying Lyu,10.1080/13683500.2024.2370381,https://doi.org/10.1080/13683500.2024.2370381,crossref,chinese,arab,destinations; tourists,
True,strong,A Framework for Studying the Learning Outcomes of Chinese Outbound Group Tourists,2011,journal-article,期刊论文,Journal of China Tourism Research,Philip L. Pearce; Huan (Ella) Lu,10.1080/19388160.2011.627027,https://doi.org/10.1080/19388160.2011.627027,crossref,chinese,arab,tourists,
True,strong,Chinese popular music as a musical heritage and cultural marker of the Malaysian Chinese,2017,journal-article,期刊论文,International Journal of Heritage Studies,Kam Hing Lee; Danny Tze-Ken Wong,10.1080/13527258.2017.1362577,https://doi.org/10.1080/13527258.2017.1362577,crossref,chinese,arab,heritage,
True,strong,"Space Connected, Emotion Shared: Investigating Users of Digital Chinese Cultural Heritage",2023,journal-article,期刊论文,Emerging Media,Qingyan Tong; Jie Cui; Baiyi Ren,10.1177/27523543231216774,https://doi.org/10.1177/27523543231216774,crossref,chinese,arab,heritage,
True,strong,Cross-Cultural Perceptual Differences in the Symbolic Meanings of Chinese Architectural Heritage,2025,journal-article,期刊论文,Buildings,Guoliang Shao; Jinhe Zhang; Lingfeng Bu; Jingwei Wang,10.3390/buildings15193506,https://doi.org/10.3390/buildings15193506,crossref,china; chinese; hong kong; macau; mainland china,arab,heritage; tourism; visitor; visitors,
True,strong,Confucian Heritage Cultural Background (CHCB) as a Descriptor for Chinese Learners: The Legitimacy,2013,journal-article,期刊论文,Asian Social Science,Jianli Wang,10.5539/ass.v9n10p105,https://doi.org/10.5539/ass.v9n10p105,crossref,chinese,arab,heritage,
True,strong,The Art of Chinese Calligraphy: Educational Protection and Literacy Study of Cultural Heritage,2024,journal-article,期刊论文,International Journal of Education and Literacy Studies,Hengyuan Cao; Sitthisak Champadaeng,10.7575/aiac.ijels.v.12n.3p.160,https://doi.org/10.7575/aiac.ijels.v.12n.3p.160,crossref,chinese,arab,heritage,
True,strong,"Tourism, national identity, and the images on postage stamps: the case of Saudi Arabia",2022,journal-article,期刊论文,Journal of Tourism History,Enas Fares Yehia; Hessa Jamaan M. Alzahrani; Donald Malcolm Reid; Mohamed Ahmed Ali,10.1080/1755182x.2022.2092221,https://doi.org/10.1080/1755182x.2022.2092221,crossref,chinese,arabia; saudi,tourism,
True,strong,Evaluation of Arab Cultural Barriers That Influence Muslim Arab Iraqi Women’s Breast Cancer Screening Behavior,2022,journal-article,期刊论文,European Journal of Breast Health,Shadan Shukur Azeez; Işıl Işık Andsoy,10.4274/ejbh.galenos.2022.2022-5-6,https://doi.org/10.4274/ejbh.galenos.2022.2022-5-6,crossref,china,arab; iraqi; muslim,cultural exchange,
True,strong,Experiences of Arab heritage youth in US schools and impact on identity development,2019,journal-article,期刊论文,School Psychology International,Khadeja Najjar; Shereen C. Naser; Katie Clonan-Roy,10.1177/0143034319831057,https://doi.org/10.1177/0143034319831057,crossref,china,arab,heritage,
True,strong,HERITAGE IN THE LIVED ENVIRONMENT OF THE UNITED ARAB EMIRATES AND THE GULF REGION,2017,journal-article,期刊论文,International Journal of Architectural Research: ArchNet-IJAR,Joseph John Hobbs,10.26687/archnet-ijar.v11i2.1240,https://doi.org/10.26687/archnet-ijar.v11i2.1240,crossref,china,arab; emirates; gulf countries; gulf region; islamic,heritage,
True,strong,From Museumification to Performativization. A Performative Approach to Heritage Reuse. Cases from the United Arab Emirates,2024,journal-article,期刊论文,Future Cities and Environment,Ayman Kassem; Jihad Awad; Taher Eldanaf,10.5334/fce.228,https://doi.org/10.5334/fce.228,crossref,china,arab; emirates,heritage,
True,strong,"Species diversity and spatial differentiation of heritage trees in Chengdu, China",2024,journal-article,期刊论文,Frontiers in Ecology and Evolution,Yuanzhao Yang; Shiye Sang; Fangling Liu; Yang Xu; Zhuying Jiang; Xiaoli Liu,10.3389/fevo.2024.1413596,https://doi.org/10.3389/fevo.2024.1413596,crossref,china,arab,heritage,
True,strong,Perceptions and desires of Chinese senior outbound tourists receiving travel support from adult children: a qualitative study,2022,journal-article,期刊论文,Asia Pacific Journal of Marketing and Logistics,Qi Xiong; Yalan Zheng; Ruitong Gu; Jun Wen; Zhiyong Li,10.1108/apjml-12-2021-0894,https://doi.org/10.1108/apjml-12-2021-0894,crossref,chinese,arab,destination; leisure; tourism; tourism industry; tourists; travel,
True,strong,Destination Meanings Shaped by Home Environment: A Schema-Based Intra-Cultural Comparison of Chinese and Macau Outbound Tourists in Europe,2021,journal-article,期刊论文,Leisure Sciences,Jianjian Mou; Pedro Quelhas Brito,10.1080/01490400.2021.1913267,https://doi.org/10.1080/01490400.2021.1913267,crossref,chinese; macau,arab,destination; tourists,
True,strong,The Market Responses of Ice and Snow Destinations to Southerners’ Tourism Willingness: A Case Study from China,2023,journal-article,期刊论文,Sustainability,Kun Sun; Xiaoli Tian; Jing Xia; Mian Ou; Chengcai Tang,10.3390/su151813759,https://doi.org/10.3390/su151813759,crossref,beijing; china,arab,destinations; tourism; tourists; travel,
True,strong,Challenges and opportunities for halal tourism,2025,journal-article,期刊论文,Journal of Islamic Accounting and Business Research,David Ruiz-Muñoz; Ana M. Sánchez-Sánchez; Francisca J. Sánchez-Sánchez,10.1108/jiabr-07-2024-0276,https://doi.org/10.1108/jiabr-07-2024-0276,crossref,china,halal; islamic; muslim,destinations; hospitality; tourism; tourism industry,
True,strong,The potential of Muslim Friendly Hospitality in the tourism industry in Central Java,2023,journal-article,期刊论文,Indonesian Journal of Islam and Muslim Societies,Iskandar Iskandar; Waridin Waridin; Deden Dinar Iskandar,10.18326/ijims.v13i1.169-197,https://doi.org/10.18326/ijims.v13i1.169-197,crossref,china,halal; islamic; muslim,destinations; heritage; hospitality; tourism; tourism industry; travel,
True,strong,Does the preservation policy of historical and cultural heritage promote economic growth? Evidence from China,2025,journal-article,期刊论文,Journal of Cultural Heritage,Kunxian Chen; Xin Tan,10.1016/j.culher.2025.06.004,https://doi.org/10.1016/j.culher.2025.06.004,crossref,china,arab,heritage,
True,strong,Correction: Travel Patterns in China,2011,journal-article,期刊论文,PLoS ONE,Tini Garske; Hongjie Yu; Zhibin Peng; Min Ye; Hang Zhou; Xiaowen Cheng; Jiabing Wu; Neil Ferguson,10.1371/annotation/e4781265-2e4f-45a9-85b7-1930e0a16171,https://doi.org/10.1371/annotation/e4781265-2e4f-45a9-85b7-1930e0a16171,crossref,china,arab,travel,
True,strong,Does the Visa-Free Policy Promote Inbound Tourism? Evidence From China,2024,journal-article,期刊论文,Sage Open,Jiafeng Gu,10.1177/21582440241261676,https://doi.org/10.1177/21582440241261676,crossref,china,arab,tourism; tourists,
True,weak,China-Iran Relations: Prospects and Complexities,2020,journal-article,期刊论文,Policy Perspectives,Kulsoom Belal,10.13169/polipers.17.2.0047,https://doi.org/10.13169/polipers.17.2.0047,crossref,china,arab; persian gulf,,belt and road; bri
True,weak,The Multiple Roles of Egypt in China’s ‘Belt and Road’ Initiative,2019,article,,Asian Journal of Middle Eastern and Islamic Studies,Mahmoud Ahmed Mohamed Mohamed Soliman; Jun Zhao,10.1080/25765949.2019.1630580,,,china; sino,arab; egypt; egyptian; middle east; palestinian; red sea,,belt and road; bri
True,strong,Changing Patterns of Foreigner Transplants in Korea and Overseas Organ Transplants Among Koreans,2017,article,,Transplantation,Hyung Joon Ahn; Hwi Won Kim; Miyeun Han; Hee Jung Jeon; Oh Jung Kwon; Curie Ahn,10.1097/tp.0000000000001935,,,china; chinese,arab; emirates,tourism,
True,strong,10. Place Making or Place Faking? The Paradoxical Effects of Transnational Circulation of Architectural and Urban Development Projects,2016,book-chapter,,Multilingual Matters eBooks,Davide Ponzini; Stefan Fotev; Francesca Mavaracchio,10.21832/9781845415709-012,,,china,dubai,attractions; destinations; hotels; leisure; resorts; tourism; tourist; tourists,
True,weak,Growth in economic relations of China and India with the GCC countries,2011,article,,Asian-Pacific Economic Literature,Nader Habibi,10.1111/j.1467-8411.2011.01311.x,,,china,arab; gcc; gulf cooperation council,,economic cooperation
True,weak,The China-Saudi Arabia (Jizan) Industrial Park under the Belt and Road Initiative,2020,article,,Asian Journal of Middle Eastern and Islamic Studies,Zishi Yang; Lê Thi Huong Dû; Liping Ding,10.1080/25765949.2020.1841990,,,china,arab; arabia; middle east; saudi,,belt and road; economic and trade; industrial cooperation; trade cooperation
True,weak,Not a Silk Road: trading networks between China and the Middle East as a dynamic interaction of competing Eurasian geographies,2020,article,,Global Networks,Paul Anderson,10.1111/glob.12271,,,china; chinese,arab; middle east; muslim,,silk road
True,weak,Paving a Concrete Path to Globalization with China's Belt and Road Initiative Through the Middle East,2019,article,,Arab Studies Quarterly,Liana Petranek,10.13169/arabstudquar.41.1.0007,,,china,arab; middle east,,belt and road; bri
True,weak,Saudi Arabia-China-Pakistan Economic Corridor: intergovernmental green initiatives,2019,article,,Environmental Science and Pollution Research,Asma Naz; Khalid Zaman; Sheikh Usman Yousaf; Abdelmohsen A. Nassani; Abdullah Mohammed Aldakhil; Muhammad Moinuddin Qazi Abro,10.1007/s11356-019-05843-2,,,china,arabia; saudi,,economic corridor
True,strong,The Sustainable World,2010,book,,Medical Entomology and Zoology,C. A. Brebbia,,,,china; chinese,arabia; egypt; saudi,destinations; ecotourism; heritage; hospitality; hotel; museums; tourism; tourist; world heritage,
True,strong,Mitochondrial replacement techniques and Mexico's rule of law: on the legality of the first maternal spindle transfer case,2017,article,,Journal of Law and the Biosciences,Tetsuya Ishii,10.1093/jlb/lsx015,,,beijing; china,jordanian; medina,resort; tourism,
True,strong,Cultural Heritage Rights,2017,book,,,Anthony J. Connolly,10.4324/9781315258737,,,china,iraq,heritage; intangible cultural heritage; tourism; world heritage,
True,strong,The Impact of Corona Virus on Supply Chain of Halal Tourism Management in West Nusa Tenggara,2020,article,,,Abdul Kadir Jaelani; I Gusti Ayu Ketut Rachmi Handayani; Lego Karjoko,,,,china; chinese,halal,tourism; tourists,
True,strong,COVID-19 Pandemic’s precautionary measures had hit the reset button of the quality of life at different aspects,2020,article,,The Journal of Infection in Developing Countries,Huda Al-Sayedahmed,10.3855/jidc.12943,,,china,saudi,travel,
True,strong,The Emerging Asian City,2012,book,,,Vinayak Bharne,10.4324/9780203094655,,,china; chinese; hong kong; macau,abu dhabi; damascus; dubai,museums,
True,strong,Trans[ition] in Iran,2014,article,,World Policy Journal,Rochelle Terman,10.1177/0740277514529714,,,china,arabic; egypt; iraq; islamic; muslim,attraction; travel,
True,strong,"Adaptive Reuse and Interventions of Chinese Architectural Heritage in the City of Lasem, Indonesia",2020,article,,Environmental Science & Sustainable Development,Timoticin Kwanda,10.21625/essd.v5i1.718,,,china; chinese,islamic,attractions; destination; heritage; museum; tourism; tourist; tourists,
True,strong,Ethnic tourism in China,2016,book-chapter,图书章节,Handbook on Ethnic Minorities in China,Tim Oakes,10.4337/9781784717360.00020,https://doi.org/10.4337/9781784717360.00020,crossref,china,arab,tourism,
True,strong,"Cultural issues in tourism, hospitality and leisure in the Arab/Muslim world",2015,journal-article,期刊论文,"International Journal of Culture, Tourism and Hospitality Research",Yvette Reisinger; Omar Moufakkir,10.1108/ijcthr-01-2015-0003,https://doi.org/10.1108/ijcthr-01-2015-0003,crossref,china,arab; muslim,hospitality; leisure; tourism,
True,strong,The Influence of Social Entrepreneurship in Tourism on an Arab Village in Israel,2016,book-chapter,图书章节,Tourism on the Verge,Alexandra Stenvall; Daniel Laven; Alon Gelbman,10.1007/978-3-319-46518-0_17,https://doi.org/10.1007/978-3-319-46518-0_17,crossref,china,arab,tourism,
True,strong,Agent-based simulations of China inbound tourism network,2019,journal-article,期刊论文,Scientific Reports,Jinfeng Wu; Xingang Wang; Bing Pan,10.1038/s41598-019-48668-2,https://doi.org/10.1038/s41598-019-48668-2,crossref,china,arab,tourism; tourist; tourists,
True,strong,County Tourism Development in China: A Case Study,2020,journal-article,期刊论文,Journal of China Tourism Research,Naipeng (Tom) Bu; Haiyan Kong; Shun Ye,10.1080/19388160.2020.1761501,https://doi.org/10.1080/19388160.2020.1761501,crossref,china,arab,tourism,
True,strong,"Tourism consumers’ perceptions, attitudes and low-carbon tourism behaviors towards “dual carbon” of China",2025,journal-article,期刊论文,Frontiers in Environmental Science,Lan Zhan; Jiening Yang; Mingshui Lin; Xinhua Qi,10.3389/fenvs.2025.1598632,https://doi.org/10.3389/fenvs.2025.1598632,crossref,china,arab,tourism; tourist; tourists; travel,
True,strong,Impact of high-speed rail on tourism in China,2022,journal-article,期刊论文,PLOS ONE,Kehan Shi; Jinfang Wang; Xiaojin Liu; Xiaoying Zhao,10.1371/journal.pone.0276403,https://doi.org/10.1371/journal.pone.0276403,crossref,china,arab,hotel; tourism; tourism industry; tourist,
True,strong,Tourism development and urban housing prices: Evidence from China,2023,journal-article,期刊论文,Tourism Economics,Changyao Song; Yijun Liu; Xinjian Li; Jiayi Zhang; Qier Lyu,10.1177/13548166231186906,https://doi.org/10.1177/13548166231186906,crossref,china,arab,tourism,
True,strong,"Korean Golf Tourism in China: Place, Perception and Narratives",2018,journal-article,期刊论文,Sustainability,Jinah Park; Alastair Morrison; Bihu Wu; Yeung Kong,10.3390/su10041055,https://doi.org/10.3390/su10041055,crossref,china; chinese; mainland china,arab,destination; destinations; tourism; tourists; tours,
True,strong,Staged authenticity and nostalgia of mining tourists in the Jiayang mining Geo-park of China,2022,journal-article,期刊论文,Journal of Tourism and Cultural Change,Yong Tang; Yue Liang,10.1080/14766825.2022.2090259,https://doi.org/10.1080/14766825.2022.2090259,crossref,china,arab,tourists,
True,strong,Onstage: Exhibiting Intangible Cultural Heritage in China,2023,journal-article,期刊论文,China Perspectives,Philipp Demgenski,10.4000/chinaperspectives.14509,https://doi.org/10.4000/chinaperspectives.14509,crossref,china,arab,heritage; intangible cultural heritage; museums,
True,strong,Who Owns Underwater Cultural Heritage in the South China Sea,2019,journal-article,期刊论文,Coastal Management,Yingying Jing; Juan Li,10.1080/08920753.2019.1540908,https://doi.org/10.1080/08920753.2019.1540908,crossref,china,arab,heritage,
True,strong,"Visual Impact Assessment Method for Cultural Heritage: West Lake Cultural Landscape in Hangzhou, China",2024,journal-article,期刊论文,Land,Huaiyun Kou; Longchang Zhang; Sichu Zhang,10.3390/land13101596,https://doi.org/10.3390/land13101596,crossref,china,arab,heritage; hotel; world heritage,
True,strong,Intangible cultural heritage in contemporary China: the participation of local communities,2017,journal-article,期刊论文,International Journal of Heritage Studies,Helen Rees,10.1080/13527258.2017.1413683,https://doi.org/10.1080/13527258.2017.1413683,crossref,china,arab,heritage; intangible cultural heritage,
True,strong,History of Saudi Arabia,2024,book,图书,Bloomsbury Publishing Inc,Wayne H. Bowen,10.5040/9798765114612,https://doi.org/10.5040/9798765114612,crossref,china,arabia; islamic; saudi; yemen,heritage; tourism,
True,strong,Urban Heritage Conservation in Saudi Arabia Toward Sustainable Reuses,2024,proceedings-article,会议论文,Advances in Science and Technology,Silvia Mazzetto,10.4028/p-umk0gc,https://doi.org/10.4028/p-umk0gc,crossref,china,arabia; saudi,heritage,
True,strong,Application of Porter's Diamond Model: A Case Study of Tourism Cluster in UAE,2023,book-chapter,图书章节,Industry Clusters and Innovation in the Arab World,Nancy H. Bouchra; Rasha S. Hassan,10.1108/978-1-80262-871-520231007,https://doi.org/10.1108/978-1-80262-871-520231007,crossref,china,arab; emirates,tourism,
True,strong,Developing intercultural intelligence: Dubai Style,2013,journal-article,期刊论文,Journal of International Education in Business,Aleya James; Nicole M. Shammas,10.1108/jieb-05-2013-0021,https://doi.org/10.1108/jieb-05-2013-0021,crossref,china,arab; arabian gulf; dubai; emirates; emirati,tourism,
True,strong,10. Kuwait,2021,book-chapter,图书章节,Global Communications,Fatima Alsalem,10.11647/obp.0238.10,https://doi.org/10.11647/obp.0238.10,crossref,china,gulf states; kuwait,tourism,
True,strong,"Socio-cultural impacts of large-scale cruise tourism in Souq Mutrah, Sultanate of Oman",2016,journal-article,期刊论文,Fennia – International Journal of Geography,Manuela Gutberlet,10.11143/46532,https://doi.org/10.11143/46532,crossref,china,oman,cruise; tourism,
True,strong,"Local e‐government impact in China, New Zealand, Oman, and the United Kingdom",2010,journal-article,期刊论文,International Journal of Public Sector Management,Eric Deakins; Stuart Dillon; Hamed Al Namani; Chao (Kevin) Zhang,10.1108/09513551011069004,https://doi.org/10.1108/09513551011069004,crossref,china,arabic; oman,tourists,
True,strong,THE ROLE OF VIRTUAL MUSEUM IN PROMOTING RELIGIOUS TOURISM IN JORDAN,2020,journal-article,期刊论文,GeoJournal of Tourism and Geosites,"Al-Balqa Applied University, Tourism Management Department, Ajloun College, Jordan; Issam Mohammad AL-MAKHADMAH",10.30892/gtg.28121-468,https://doi.org/10.30892/gtg.28121-468,crossref,china,jordan,museum; tourism,
True,strong,Corrosion on cultural heritage buildings in Jordan in current situation and in future climate scenarios,2024,journal-article,期刊论文,Scientific Reports,Beatrice Sorrentino; Augusto Screpanti; Alessandra De Marco,10.1038/s41598-024-77195-y,https://doi.org/10.1038/s41598-024-77195-y,crossref,china,jordan,heritage,
True,strong,Coastal Tourism: A Comparative Study between Croatia and Tunisia,2010,journal-article,期刊论文,Tourism Geographies,Joshua Rutin,10.1080/14616681003725227,https://doi.org/10.1080/14616681003725227,crossref,china,tunisia,tourism,
True,strong,"The development of British tourism in Egypt, 1815 to 1850",2012,journal-article,期刊论文,Journal of Tourism History,Martin Anderson,10.1080/1755182x.2012.711373,https://doi.org/10.1080/1755182x.2012.711373,crossref,china,egypt,tourism,
True,strong,Climate change associated hazards on cultural heritage in Egypt,2023,journal-article,期刊论文,Archaeological Prospection,Mohamed A. Abdrabo; Mahmoud A. Hassaan; Rofida G. Abdelwahab; Toka A. Elbarky,10.1002/arp.1908,https://doi.org/10.1002/arp.1908,crossref,china,egypt,archaeological; heritage,
True,strong,Transformational Host Communities: Justice Tourism and the Water Regime in Palestine,2017,journal-article,期刊论文,Tourism Culture &amp; Communication,Rami K. Isaac,10.3727/109830417x14966810027580,https://doi.org/10.3727/109830417x14966810027580,crossref,china,egyptian; jordanian; palestine; palestinian,tourism,
True,strong,Dionysus Versus Apollo: An Uncertain Search for Identity Through Dark Tourism—Palestine as a Case Study,2018,book-chapter,图书章节,The Palgrave Handbook of Dark Tourism Studies,Rami K. Isaac; Vincent Platenkamp,10.1057/978-1-137-47566-4_9,https://doi.org/10.1057/978-1-137-47566-4_9,crossref,china,palestine,tourism,
True,strong,Heritage in Palestine: Colonial Legacy in Postcolonial Discourse,2013,journal-article,期刊论文,Archaeologies,Khaldun Bshara,10.1007/s11759-013-9235-2,https://doi.org/10.1007/s11759-013-9235-2,crossref,china,palestine,heritage,
True,strong,Impact of the China-Pakistan Economic Corridor on the China-Europe and China-Middle East trading route selection,2023,journal-article,期刊论文,PLOS ONE,Khalid Mehmood Alam; Li Xuemei; Saranjam Baig; Faqeer Muhammad; Jingxiao Sun; Muhammad Tariq,10.1371/journal.pone.0288328,https://doi.org/10.1371/journal.pone.0288328,crossref,china,middle east,tourism; travel,economic corridor
True,strong,Cultural Heritage and Preservation: Lessons from World War II and the Contemporary Conflict in the Middle East,2016,journal-article,期刊论文,The American Archivist,Laila Hussein Moustafa,10.17723/0360-9081-79.2.320,https://doi.org/10.17723/0360-9081-79.2.320,crossref,china,middle east,heritage,
True,strong,Cape Town’s gay village: from “gaytrified” tourism Mecca to “heterosexualised” urban space,2020,journal-article,期刊论文,International Journal of Tourism Cities,Chris Hattingh; Juan-Pierré Bruwer,10.1108/ijtc-10-2019-0193,https://doi.org/10.1108/ijtc-10-2019-0193,crossref,china,mecca,leisure; tourism; tourist; travellers,
True,strong,"Whose Mecca? Divergent experiences of post-productivism and tourism in Nieu Bethesda, South Africa",2015,journal-article,期刊论文,South African Geographical Journal,P.M. Irvine; T. Kepe; D.T. De Wet; N.P. Hamunime,10.1080/03736245.2015.1052843,https://doi.org/10.1080/03736245.2015.1052843,crossref,china,mecca,tourism,
True,strong,Local Leaders’ Promotion Pressure and Tourism Development: Evidence from China,2024,journal-article,期刊论文,Journal of Travel Research,Anyu Liu; Yuan Qin; Vera Shanshan Lin,10.1177/00472875241253008,https://doi.org/10.1177/00472875241253008,crossref,china,riyadh,tourism; tourism industry,
True,strong,Deterritorialization in the context of cultural heritage and globalizing Msheireb downtown Doha,2023,journal-article,期刊论文,Frontiers in Sustainable Cities,Mariam Ibrahim Al-Hammadi,10.3389/frsc.2023.1186781,https://doi.org/10.3389/frsc.2023.1186781,crossref,china,doha; qatar; qatari,heritage,
True,strong,Chinese tourism: Development and prospects for Greece,2015,journal-article,期刊论文,Tourism and Hospitality Research,Maria Skivalou; Eleni Filippidi,10.1177/1467358415610372,https://doi.org/10.1177/1467358415610372,crossref,china; chinese,arab,cultural exchange; destination; hospitality; hotel; tour; tourism; tourists; travel,
True,strong,Technology Application in the Chinese Tourism Industry,2022,book-chapter,图书章节,Technology Application in Tourism in Asia,Mohammad Musa; Preethu Rahman; Zhi-rong Kang; Syed Far Abid Hossain,10.1007/978-981-16-5461-9_13,https://doi.org/10.1007/978-981-16-5461-9_13,crossref,chinese,arab,tourism; tourism industry,
True,strong,Border Tourism on the Russian-Chinese Border,2015,journal-article,期刊论文,Journal of Siberian Federal University. Humanities &amp; Social Sciences,Higher School of Economics; Ekaterina V. Mikhailova,10.17516/1997-1370-2015-8-3-437-451,https://doi.org/10.17516/1997-1370-2015-8-3-437-451,crossref,chinese,arab,tourism,
True,strong,Perceived Value of the Chinese Calligraphic Landscape in Tourism Settings: From the Perspective of Chinese Tourists,2014,journal-article,期刊论文,Journal of China Tourism Research,Qian Li; Zhuowei (Joy) Huang; Jie Zhang,10.1080/19388160.2014.919243,https://doi.org/10.1080/19388160.2014.919243,crossref,chinese,arab,tourism; tourists,
True,strong,An Exploratory Study of Chinese Tourists on Kenya Safari Tours,2016,journal-article,期刊论文,Journal of China Tourism Research,Wantanee Suntikul; Chuanzhong Tang; Stephen Pratt,10.1080/19388160.2016.1227290,https://doi.org/10.1080/19388160.2016.1227290,crossref,chinese,arab,tourists; tours,
True,strong,Investigating tourists’ and local residents’ perceptions of a Chinese film site,2018,journal-article,期刊论文,Tourist Studies,Xiaoyu Zhang; Chris Ryan,10.1177/1468797618771693,https://doi.org/10.1177/1468797618771693,crossref,beijing; chinese,arab,attractions; destination; heritage; tourism; tourists; visitor,
True,strong,Understanding the smartphone usage of Chinese outbound tourists in their shopping practices,2021,journal-article,期刊论文,Current Issues in Tourism,Haipeng Jin; Wenjie Cai,10.1080/13683500.2021.2014421,https://doi.org/10.1080/13683500.2021.2014421,crossref,chinese,arab,tourists,
True,strong,The Use Intention of Mobile Travel Apps by Korea-Visiting Chinese Tourists,2017,journal-article,期刊论文,Journal of Distribution Science,Runze Wu; Jongho Lee,10.15722/jds.15.5.201705.53,https://doi.org/10.15722/jds.15.5.201705.53,crossref,chinese,arab,tourists; travel,
True,strong,The Crowding-out Effects of Chinese Tourists on Inbound Tourism in Taiwan,2014,journal-article,期刊论文,Tourism Economics,Chin-Mei Chou; Shu Fen Hsieh; Hsi Peng Tseng,10.5367/te.2013.0342,https://doi.org/10.5367/te.2013.0342,crossref,chinese,arab,tourism; tourists,
True,strong,A Study on the Impact of Chinese Domestic Tourists’ Participation on Their Post-Travel Behaviors in Traditional Chinese Villages,2023,journal-article,期刊论文,Heritage,Jun Lei; Sid Suntrayuth,10.3390/heritage6070275,https://doi.org/10.3390/heritage6070275,crossref,chinese,arab,destination; tourism; tourist; tourists; travel,
